url,status
https://b24.ek-production.ru/511e61b00b.php,Error: HTTPSConnectionPool(host='b24.ek-production.ru', port=443): Max retries exceeded with url: /511e61b00b.php (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fe3183780d0>: Failed to resolve 'b24.ek-production.ru' ([Errno 8] nodename nor servname provided, or not known)"))
https://navyadisha.org/wp-content/uploads/036163e873.php,Failed (Status code: 404)
http://makrotim.bx.hmns.ru/assets/images/9e5f150f45.php,Failed (Status code: 404)
https://elk.dev.dion.ru/bitrix/admin/d88770e5a7.php,Success
https://tula.smsint.ru:443/bitrix/admin/9166e140ee.php,Success
https://orenburg.smsint.ru/assets/images/0c449f40a1.php,Failed (Status code: 404)
https://volgograd.smsint.ru/assets/images/e18bf6c160.php,Failed (Status code: 404)
https://yuzhno-sakhalinsk.smsint.ru/assets/images/4845d162ee.php,Failed (Status code: 404)
https://habarovsk.smsint.ru/assets/images/2feda43b96.php,Failed (Status code: 404)
http://familygarden.su/bitrix/admin/b60723055d.php,Success
https://test1.yadrinspirt.ru:443/assets/images/cfd2bab207.php,Failed (Status code: 404)
https://kemerovo.smsint.ru/assets/images/a763554dcc.php,Failed (Status code: 404)
https://murmansk.smsint.ru/assets/images/0dfc9ce46d.php,Failed (Status code: 404)
https://livnevka.pro:443/assets/images/a9d3d4f951.php,Failed (Status code: 404)
https://pskov.smsint.ru/assets/images/335ee8a736.php,Failed (Status code: 404)
https://forsunkidiesel.by:443/assets/images/31ab4fdc40.php,Failed (Status code: 403)
http://hunsteel.ru/assets/images/656d86208d.php,Failed (Status code: 404)
http://fok-triumf.ru/assets/images/8795e028fa.php,Failed (Status code: 403)
https://sbline.it/dd04965026.php,Failed (Status code: 404)
http://kanat.orwotest.ru/assets/images/7c98217071.php,Failed (Status code: 404)
https://institutovirtus.org.br/513c9c4994.php,Failed (Status code: 403)
https://remontforsunok.by:443/assets/images/30b88ba0a8.php,Failed (Status code: 403)
https://murmansk.smsint.ru:443/bitrix/admin/d4ceec5a0c.php,Success
http://clubtobacco.ru/assets/images/b2cc05ed5b.php,Failed (Status code: 404)
https://perkups.coffee/a39a9b92e3.php,Failed (Status code: 500)
http://rateokon.ru/assets/images/be79c509f9.php,Failed (Status code: 404)
https://thisstory-org.kittcreative.com/wp-admin/a7f83a6ebe.php,Failed (Status code: 406)
https://hilltopconstructioninc.com/62693021e4.php,Failed (Status code: 406)
https://ahqsons.com/wp-content/plugins/background-image-cropper/ce63728ad9.php,Success
http://familyoftheaccused.com/wp-content/uploads/dc38db51c0.php,Failed (Status code: 406)
https://bazaars.lv/bitrix/admin/8d833ee073.php,Failed (Status code: 403)
http://seminar.wizard-c.ru/9d68891760.php,Success
http://api.dasya.ru/assets/images/97ef7662a6.php,Failed (Status code: 405)
https://fstudio.su/1049bc99c6.php,Failed (Status code: 403)
http://3d-ul.ru/assets/images/672b64c821.php,Failed (Status code: 404)
http://angary-svai.ru/assets/images/b849d1fa4b.php,Failed (Status code: 404)
https://xn--e1akfs.xn--p1ai:443/a3ceb23925.php,Success
http://pk-mdt.ru/6d3283ce21.php,Success
https://lenker.pro/db7212799f.php,Failed (Status code: 403)
http://veloplus24.com/3b2783eaca.php,Failed (Status code: 403)
https://club-electro.ru:443/assets/images/6a17b802b9.php,Error: HTTPSConnectionPool(host='club-electro.ru', port=443): Max retries exceeded with url: /assets/images/6a17b802b9.php (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1129)')))
http://dilworthgrill.com/173a01d65a.php,Failed (Status code: 404)
https://naryan-mar.smsint.ru/assets/images/89e907f4b0.php,Failed (Status code: 404)
https://fortpolis.ua/77f7056c18.php,Failed (Status code: 403)
https://fronthoteis.com.br/1cbca42095.php,Failed (Status code: 403)
https://tralverket.se/wp-content/plugins/background-image-cropper/f9b39ae72d.php,Failed (Status code: 403)
http://sitedafesta.com.br/assets/images/229d9bf2c2.php,Failed (Status code: 406)
https://trailers.q2zov.ru/127391c6d3.php,Success
http://bwtru.bx.hmns.ru/assets/images/47ab499992.php,Failed (Status code: 404)
http://kron.skalar.net/60e470d9a3.php,Failed (Status code: 404)
